"type","lower","upper"
"arth",0.596784381753843,0.612877928101139
"conj",0.15803743795067,0.170238953540988
"fever",0.516663309636059,0.533101529198754
"head",0.654244089923984,0.66981640372676
"rash",0.860599719931907,0.871816608313842
"arth+conj",0.12192023776931,0.132907404587502
"arth+fever",0.3503085392369,0.366092823746976
"arth+head",0.47278475415413,0.489231470885446
"arth+rash",0.525893988343321,0.542314309079654
"conj+fever",0.0954853575288397,0.105393241228315
"conj+head",0.119727191414121,0.130631778642524
"conj+rash",0.143719407547912,0.155469974198493
"fever+head",0.391210977869194,0.407332832282024
"fever+rash",0.44024189096721,0.456612863761939
"head+rash",0.581378413639661,0.59757188257774
"arth+conj+fever",0.0779085058044109,0.0869770123046405
"arth+conj+head",0.100732788189599,0.110870616779212
"arth+conj+rash",0.112832817433972,0.123470148592906
"arth+fever+head",0.301519071021253,0.316733855058153
"arth+fever+rash",0.309509466391932,0.32483070286518
"arth+head+rash",0.421187070519457,0.437480788022345
"conj+fever+head",0.0790177399752092,0.0881427347752745
"conj+fever+rash",0.086947877620458,0.0964622918786057
"conj+head+rash",0.11179717939588,0.122393323818245
"fever+head+rash",0.346912885141319,0.36266358627569
"arth+conj+fever+head",0.0687675593830738,0.077349573474544
"arth+fever+head+rash",0.268134586250403,0.282844417249166
"arth+conj+head+rash",0.0939357997114815,0.103774106730276
"arth+conj+fever+rash",0.072564090922927,0.0813528887184141
"conj+fever+head+rash",0.0735928966848292,0.082436541878648
"arth+conj+fever+head+rash",0.0641848483505078,0.0725074732574302
"2 or more",0.8237639,0.8332223
"3 or more",0.6060445,0.6182596
"rash + 1",0.7489501,0.759746
